"Total DMA List","107 DMA used in this study","Population"
"New York NY","TRUE","21218509"
"Los Angeles CA","TRUE","16128617"
"Chicago IL","TRUE","9678231"
"Philadelphia PA","TRUE","8082268"
"Dallas-Ft. Worth TX","TRUE","7646793"
"San Francisco-Oakland-San Jose CA","TRUE","7255150"
"Houston TX","TRUE","6886863"
"Atlanta GA","TRUE","6696579"
"Washington DC (Hagerstown MD)","TRUE","6648718"
"Boston MA-Manchester NH","TRUE","6536264"
"Phoenix AZ","TRUE","5343243"
"Seattle-Tacoma WA","TRUE","5127852"
"Detroit MI","TRUE","4856561.5"
"Tampa-St. Petersburg (Sarasota) FL","TRUE","4660223"
"Minneapolis-St. Paul MN","TRUE","4639575.5"
"Sacramento-Stockton-Modesto CA","TRUE","4393119.5"
"Denver CO","TRUE","4240646"
"Orlando-Daytona Beach-Melbourne FL","TRUE","4015682"
"Cleveland-Akron (Canton) OH","TRUE","3827634"
"Portland-Auburn ME","TRUE","3298757.5"
"San Diego CA","TRUE","3249608"
"Salt Lake City UT","TRUE","3159583.5"
"Charlotte NC","TRUE","3148997"
"St. Louis MO","TRUE","3128507.5"
"Raleigh-Durham (Fayetteville) NC","TRUE","3093545.5"
"Baltimore MD","TRUE","2967452.5"
"Indianapolis IN","TRUE","2913243"
"Pittsburgh PA","TRUE","2823393"
"Nashville TN","TRUE","2782422"
"San Antonio TX","TRUE","2678895.5"
"Hartford & New Haven CT","TRUE","2644493"
"Kansas City MO","TRUE","2464789.5"
"Columbus OH","TRUE","2439222.5"
"Cincinnati OH","TRUE","2360670.5"
"Milwaukee WI","TRUE","2324285"
"Greenville-Spartanburg SC-Asheville NC-Anderson SC","TRUE","2257325"
"Las Vegas NV","TRUE","2141698.5"
"Austin TX","TRUE","2122873"
"West Palm Beach-Ft. Pierce FL","TRUE","2052604"
"Grand Rapids-Kalamazoo-Battle Creek MI","TRUE","2031860"
"Fresno-Visalia CA","TRUE","2012347"
"Miami-Ft. Lauderdale FL","TRUE","1946240"
"Norfolk-Portsmouth-Newport News VA","TRUE","1912899.5"
"Oklahoma City OK","TRUE","1902080.5"
"Albuquerque-Santa Fe NM","TRUE","1901539.5"
"Birmingham AL","TRUE","1881624.5"
"Memphis TN","TRUE","1859649.5"
"Harrisburg-Lancaster-Lebanon-York PA","TRUE","1849484.5"
"Jacksonville FL","TRUE","1848439"
"Greensboro-High Point-Winston Salem NC","TRUE","1785538"
"New Orleans LA","TRUE","1732865"
"Louisville KY","TRUE","1726283"
"Providence RI-New Bedford MA","TRUE","1611292.5"
"Buffalo NY","TRUE","1590529.5"
"Wilkes Barre-Scranton PA","TRUE","1515956"
"Little Rock-Pine Bluff AR","TRUE","1445783"
"Richmond-Petersburg VA","TRUE","1429256.5"
"Mobile AL-Pensacola (Ft. Walton Beach) FL","TRUE","1415452"
"Tulsa OK","TRUE","1397350.5"
"Albany-Schenectady-Troy NY","TRUE","1387736"
"Knoxville TN","TRUE","1364051.5"
"Harlingen-Weslaco-Brownsville-McAllen TX","TRUE","1334077"
"Ft. Myers-Naples FL","TRUE","1306326.5"
"Dayton OH","TRUE","1273751.5"
"Lexington KY","TRUE","1272994.5"
"Charleston-Huntington WV","TRUE","1217724.5"
"Wichita-Hutchinson KS","TRUE","1206693.5"
"Tucson (Sierra Vista) AZ","TRUE","1185377.5"
"Spokane WA","TRUE","1156352"
"Flint-Saginaw-Bay City MI","TRUE","1151191"
"Des Moines-Ames IA","TRUE","1146763"
"Springfield MO","TRUE","1135608"
"Green Bay-Appleton WI","TRUE","1131462"
"Omaha NE","TRUE","1129722.5"
"Toledo OH","TRUE","1096639.5"
"Columbia SC","TRUE","1091360"
"El Paso TX","TRUE","1050616.5"
"Rochester NY","TRUE","1036029.5"
"Waco-Temple-Bryan TX","TRUE","1030647.5"
"Huntsville-Decatur (Florence) AL","TRUE","1027705"
"Shreveport LA","TRUE","1012184.5"
"Chattanooga TN","TRUE","1012045"
"Portland OR","TRUE","995983"
"Madison WI","TRUE","989397"
"Colorado Springs-Pueblo CO","TRUE","963038"
"Champaign & Springfield-Decatur IL","TRUE","957207"
"Savannah GA","TRUE","938797"
"Syracuse NY","TRUE","922048.5"
"Baton Rouge LA","TRUE","920385"
"Jackson MS","TRUE","914253"
"South Bend-Elkhart IN","TRUE","897371.5"
"Cedar Rapids-Waterloo-Iowa City & Dubuque IA","TRUE","895965"
"Bakersfield CA","TRUE","872685.5"
"Charleston SC","TRUE","867423"
"Ft. Smith-Fayetteville-Springdale-Rogers AR","TRUE","845160.5"
"Roanoke-Lynchburg VA","TRUE","833686"
"Boise ID","TRUE","787870"
"Florence-Myrtle Beach SC","TRUE","773388"
"Davenport IA-Rock Island-Moline IL","TRUE","766095"
"Monterey-Salinas CA","TRUE","758383"
"Tallahassee FL-Thomasville GA","TRUE","738886"
"Santa Barbara-Santa Maria-San Luis Obispo CA","TRUE","716366.5"
"Reno NV","TRUE","709428.5"
"Yakima-Pasco-Richland-Kennewick WA","TRUE","706702"
"Peoria-Bloomington IL","TRUE","641385"
"Eugene OR","TRUE","623939.5"
"Tri-Cities TN-VA","TRUE","49154"
"Palm Springs CA","FALSE","2339169"
"Honolulu HI","FALSE","1407329.5"
"Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL","FALSE","990362"
"Burlington VT-Plattsburgh NY","FALSE","848886.5"
"Greenville-New Bern-Washington NC","FALSE","810349"
"Tyler-Longview(Lufkin & Nacogdoches) TX","FALSE","766183.5"
"Johnstown-Altoona PA","FALSE","751952"
"Evansville IN","FALSE","738121"
"Lincoln & Hastings-Kearney NE","FALSE","725421.5"
"Ft. Wayne IN","FALSE","724720.5"
"Augusta GA","FALSE","711417"
"Springfield-Holyoke MA","FALSE","698777.5"
"Sioux Falls(Mitchell) SD","FALSE","695213.5"
"Lansing MI","FALSE","678078"
"Macon GA","FALSE","662358.5"
"Youngstown OH","FALSE","655401"
"Montgomery (Selma) AL","FALSE","642886"
