"DMA","GT.MVT","GT.Burglary","GT.Larceny","GT.Rape","UCR.Rape","UCR.Burglary","UCR.Larceny","UCR.MVT","UCR.Homicide","UCR.Assault","UCR.Robbery","DMA.INDEX","Percentage.of.Foreign.Born","Percentage.of.MoveIn","Percentage.of.Renter","Mobility.Index","Concentrated.Disadvantage.Index","Percentage.of.Unemployed","Percentage.of.Female.Headed.Households","Percentage.of.Poverty","Heterogeneity.Index","Percentage.of.Young.Males","Percentage.of.Dropped.Out","Percentage.of.Divorced","Population.logged","Less.than.High.School","Percentage.of.White","Percentage.of.Black","Percentage.of.Hispanic","Percentage.of.Indigenous","Population","Drug.Mortality.Rate","Law.Enforce.per.Thousand","Internet.Usage.HH","Median.Vehicle.HH"
"Albany-Schenectady-Troy NY",41.157,70.269,39.277,56.308,0.000338726272739253,0.00340486945088557,0.014599495120432,0.000631945937065715,0.0108619940318625,0.000512355653647578,0.0000205863228534052,770,6.35989121850265,12.441703609332,28.033646169012,-1.81386569347392,-3.01238547844553,3.316408884687,7.01376836124798,4.76868544121624,0.286045589054205,7.16858249695908,4.49359539490743,8.89160474326529,14.1431842002291,6.36976341321404,84.1367882652032,5.48951673805392,4.6939043160947,0.158927922890233,1387736,116.752035206184,5.81955069263895,81.3265953387223,2.01111111111111
"Albuquerque-Santa Fe NM",75.449,54.216,71.946,56.124,0.000661904821998713,0.00854518704542682,0.0223045834858217,0.00412423282559954,0.0138493120144033,0.00113493435637275,0.0000763493645966103,1470,8.37150635051231,13.2308847646867,29.2104371221318,-1.26690462929807,1.7718130454092,3.6681594045246,9.10812990998929,9.25222366245027,0.640140296934372,6.816766099258,7.31308102068519,10.6715637513709,14.4581743792086,9.57240173028223,40.5511429028953,1.6571572665201,42.458623657305,12.1169452435776,1901539.5,242.123802604095,5.28545423326731,80.8536524778584,2.18222222222222
"Atlanta GA",68.869,61.348,57.257,59.59,0.000221702953592266,0.00639043279595453,0.0196846254217785,0.00290780847951189,0.0112961199416113,0.00117836127235795,0.0000584143628650373,477,12.6784885237671,15.2849985044603,33.8338500897249,0.439113284233913,1.25193848150761,3.98113723439983,9.56033408073012,7.3890222209143,0.625533774448708,6.98529054909977,4.80696036210405,8.70937235265947,15.7171073569472,8.04902025347569,52.0962195771901,29.8576108786292,10.733779143052,0.172998780422063,6696579,128.979677003819,4.05438358899372,83.1741958248522,2.23165618448637
"Austin TX",52.403,63.594,56.065,45.056,0.000423732076603238,0.00465713158470742,0.0213329659634339,0.00158007796878083,0.0122468916589978,0.000601794981800875,0.0000273070732831611,648,14.400437520285,18.9659720576784,36.3027840101598,2.44382226421333,-3.04841874915112,2.95768988535819,6.9972485478447,5.31245876844358,0.598337772510235,7.01238368946235,3.98732294963358,8.7340599272778,14.568280917888,7.33960533672999,54.4890344358801,6.71992625088736,31.2524112370358,0.201001190367959,2122873,108.42579925716,3.87564399754484,83.8420998182086,2.23425925925926
"Bakersfield CA",96.077,78.784,99.233,75.75,0.000288963275304029,0.00984590582012352,0.0180901642948382,0.00626138782781244,0.0104287056494259,0.00134779382797038,0.0000810736364593903,130,20.1754240215977,16.079733191396,41.8248613045593,2.2214936810191,9.55963350834445,4.95596638193255,11.6988214439253,13.6311382734333,0.59870277168831,8.2368161267719,4.2515550453104,7.24441966779556,13.6793305179108,15.8295858015287,35.6740200221042,5.23235461113998,51.8940672212384,0.561427914179851,872685.5,213.783369622975,7.31936075481946,82.7710617563574,2.17777777777778
"Baltimore MD",59.394,61.103,51.641,52.2,0.000285901496328763,0.00537911647731169,0.0192767529173718,0.00260810740672115,0.0152193383839348,0.00228795151594688,0.000115167375240722,264,9.55526668076406,12.7978291143666,29.8623145610587,-1.33223131423089,-1.50095352344347,3.5275880574331,8.75841564255035,4.65626665852998,0.5676154079543,6.64110040514549,3.80857590392899,8.27214588944558,14.9032143985982,6.8742465127917,59.3239655900137,27.4073637235979,5.36906656467121,0.198351953401108,2967452.5,310.509339800609,6.38190501785623,82.7366913373092,2.17878787878788
"Baton Rouge LA",51.845,65.539,54.335,55.169,0.000248493163880602,0.00792610077569933,0.0249956204678235,0.00152516408860337,0.0159495955272935,0.00133399910747052,0.000119558031678403,1235,3.70600346594088,13.4114528159412,28.6945680340292,-1.28382986691434,1.83132518963996,3.56573607783699,10.6160354600658,8.12631460113368,0.548613901873661,7.68374104315042,5.38753971856559,9.2340161997425,13.7325473397485,9.06913954486438,56.9377488768287,35.4085518560168,3.83622071198466,0.258044188030009,920385,170.638221295798,6.45436420628324,81.9635737170807,2.07008547008547
"Birmingham AL",57.628,78.724,53.078,68.258,0.000346574098911307,0.00757859295778556,0.0195141778511296,0.00210640094400082,0.0178904012928477,0.000991676566078076,0.0000699808002071939,800,3.38765784565411,14.3328012576367,27.9930187983841,-1.02082555634123,1.90825112942765,3.7578964347031,9.39206789637894,8.59877400034249,0.477137138002165,6.79625504451074,4.552779416796,10.0858061743988,14.447646057435,9.77301794274043,67.4048674429994,25.8571781989446,3.90728862214539,0.239659932149055,1881624.5,183.431564095871,4.18229035601949,81.2799398719521,2.19
"Boise ID",35.648,59.284,41.654,47.359,0.00044078821238872,0.00322655488165529,0.0127617210913204,0.000983306289835184,0.00855495013444288,0.000137823571736798,0.0000200245906918039,1612,6.69691700407428,17.0858771117062,29.3319963953444,0.38668666929775,-2.80663741954477,3.19189714039118,6.5562075950158,6.50847622370218,0.33887732990064,6.91027707616739,4.1936273652548,9.79355731275464,13.5770883806109,6.3663421630472,80.0549583053042,0.879079035881554,14.0704684783023,0.581631487428129,787870,130.17610324687,4.65051340957265,82.2478146505382,2.31623931623932
"Boston MA-Manchester NH",41.589,33.69,41.706,47.327,0.000277974468157414,0.00307969305359667,0.0122999614524549,0.00107965521814051,0.00958060680431255,0.000703027395773633,0.0000214390731034496,96,15.5928141825361,13.0047378747248,31.1206294604991,-1.0169601739108,-3.25069252785602,3.43760594737299,6.8433910240613,4.24445552619625,0.415357704868044,6.88556949352107,2.53350424709565,7.94858500207458,15.6928763063831,6.00079800938273,75.3602440170715,6.10549849271694,9.49209670845608,0.134013864801055,6536264,213.014061850436,4.12139105764394,82.5041310204192,2.075
